flight_legs,itinerary,origin_airport,destination_airport,start_time,end_time,fdt_duration,sectors,ground_transit_mins,duty_cost
"[3504618965, 3504618821, 3504619356]",STR ➔ PMI ➔ CGN ➔ (CGN🚌DUS) ➔ DUB,STR,DUB,300.0,960.0,630.0,3,79.8,754.9
"[3504618965, 3504618821, 3504619338]",STR ➔ PMI ➔ CGN ➔ (CGN🚌MUC) ➔ DUS,STR,DUS,300.0,935.0,605.0,3,92.4,728.7
"[3504618965, 3504618821, 3504619329]",STR ➔ PMI ➔ CGN ➔ (CGN🚌DUS) ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,79.8,752.4
"[3504618965, 3504618821]",STR ➔ PMI ➔ CGN,STR,CGN,300.0,705.0,375.0,2,0.0,482.5
"[3504618965, 3504619403, 3504619480]",STR ➔ PMI ➔ DUS ➔ OLB,STR,OLB,300.0,910.0,580.0,3,0.0,647.5
"[3504618965, 3504619403, 3504619360]",STR ➔ PMI ➔ DUS ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,662.5
"[3504618965, 3504619403, 3504619356]",STR ➔ PMI ➔ DUS ➔ DUB,STR,DUB,300.0,960.0,630.0,3,0.0,665.0
"[3504618965, 3504619403, 3504619329]",STR ➔ PMI ➔ DUS ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,0.0,662.5
"[3504618965, 3504619403]",STR ➔ PMI ➔ DUS,STR,DUS,300.0,720.0,390.0,2,0.0,490.0
"[3504618965, 3504619245, 3504619278]",STR ➔ PMI ➔ HAM ➔ VIE,STR,VIE,300.0,945.0,615.0,3,0.0,657.5
"[3504618965, 3504619245, 3504619332]",STR ➔ PMI ➔ HAM ➔ DUS,STR,DUS,300.0,945.0,615.0,3,0.0,640.0
"[3504618965, 3504619245]",STR ➔ PMI ➔ HAM,STR,HAM,300.0,755.0,425.0,2,0.0,517.5
"[3504618965, 3504619405, 3504619360]",STR ➔ PMI ➔ DUS ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,662.5
"[3504618965, 3504619405, 3504619356]",STR ➔ PMI ➔ DUS ➔ DUB,STR,DUB,300.0,960.0,630.0,3,0.0,665.0
"[3504618965, 3504619405, 3504619329]",STR ➔ PMI ➔ DUS ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,0.0,662.5
"[3504618965, 3504619405]",STR ➔ PMI ➔ DUS,STR,DUS,300.0,745.0,415.0,2,0.0,502.5
"[3504618965, 3504619407, 3504619360]",STR ➔ PMI ➔ DUS ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,662.5
"[3504618965, 3504619407, 3504619356]",STR ➔ PMI ➔ DUS ➔ DUB,STR,DUB,300.0,960.0,630.0,3,0.0,665.0
"[3504618965, 3504619407, 3504619329]",STR ➔ PMI ➔ DUS ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,0.0,662.5
"[3504618965, 3504619407]",STR ➔ PMI ➔ DUS,STR,DUS,300.0,755.0,425.0,2,0.0,507.5
"[3504618965, 3504619248, 3504619278]",STR ➔ PMI ➔ HAM ➔ VIE,STR,VIE,300.0,945.0,615.0,3,0.0,657.5
"[3504618965, 3504619248, 3504619332]",STR ➔ PMI ➔ HAM ➔ DUS,STR,DUS,300.0,945.0,615.0,3,0.0,640.0
"[3504618965, 3504619248]",STR ➔ PMI ➔ HAM,STR,HAM,300.0,775.0,445.0,2,0.0,527.5
"[3504618965, 3504619409, 3504619360]",STR ➔ PMI ➔ DUS ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,662.5
"[3504618965, 3504619409, 3504619356]",STR ➔ PMI ➔ DUS ➔ DUB,STR,DUB,300.0,960.0,630.0,3,0.0,665.0
"[3504618965, 3504619409, 3504619329]",STR ➔ PMI ➔ DUS ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,0.0,662.5
"[3504618965, 3504619409]",STR ➔ PMI ➔ DUS,STR,DUS,300.0,770.0,440.0,2,0.0,515.0
"[3504618965, 3504619020, 3504619329]",STR ➔ PMI ➔ DTM ➔ (DTM🚌DUS) ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,80.4,755.2
"[3504618965, 3504619321, 3504619334]",STR ➔ PMI ➔ BER ➔ DUS,STR,DUS,300.0,1000.0,670.0,3,0.0,672.5
"[3504618965, 3504619257]",STR ➔ PMI ➔ HAM,STR,HAM,300.0,920.0,590.0,2,0.0,600.0
