pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_135,"[3505311180, 3505311181]",257.5,['DUS ➔ MXP ➔ DUS']
duty_seed_136,"[3505311076, 3505311077]",257.5,['DUS ➔ MAN ➔ DUS']
duty_seed_137,"[3505310770, 3505310771]",257.5,['CGN ➔ VIE ➔ CGN']
duty_seed_138,[3504619330],260.0,['GWT ➔ DUS']
duty_seed_139,[3504638662],260.0,['GWT ➔ DUS']
duty_seed_141,[3504676805],260.0,['GWT ➔ DUS']
duty_seed_142,[3505309601],260.0,['GWT ➔ DUS']
duty_seed_143,[3505310310],260.0,['GWT ➔ DUS']
duty_seed_144,"[3504619454, 3504619455]",262.5,['DUS ➔ VIE ➔ DUS']
duty_seed_145,"[3504619324, 3504619325]",262.5,['BER ➔ ZRH ➔ BER']
duty_seed_146,"[3504619308, 3504619309]",262.5,['BER ➔ GRZ ➔ BER']
duty_seed_147,"[3504638171, 3504638574]",262.5,['STR ➔ BER ➔ STR']
duty_seed_148,"[3504638172, 3504638575]",262.5,['BER ➔ STR ➔ BER']
duty_seed_149,"[3504638798, 3504638799]",262.5,['DUS ➔ VIE ➔ DUS']
duty_seed_150,"[3504638646, 3504638656]",262.5,['BER ➔ ZRH ➔ BER']
duty_seed_151,"[3504657820, 3504657821]",262.5,['ARN ➔ BER ➔ ARN']
duty_seed_152,"[3504658241, 3504658242]",262.5,['DUS ➔ VIE ➔ DUS']
duty_seed_153,"[3504658113, 3504658114]",262.5,['BER ➔ ZRH ➔ BER']
duty_seed_154,"[3504676935, 3504676936]",262.5,['DUS ➔ VIE ➔ DUS']
duty_seed_155,"[3504676797, 3504676798]",262.5,['BER ➔ ZRH ➔ BER']
duty_seed_156,"[3504676297, 3504676306]",262.5,['CGN ➔ BLQ ➔ CGN']
duty_seed_157,"[3505309594, 3505309595]",262.5,['BER ➔ ZRH ➔ BER']
duty_seed_158,"[3505310305, 3505310306]",262.5,['BER ➔ ZRH ➔ BER']
duty_seed_164,[3504618996],265.0,['MXP ➔ STR']
duty_seed_167,[3504638663],265.0,['DUS ➔ DRS']
duty_seed_168,[3504638576],265.0,['BER ➔ DUS']
duty_seed_169,[3504638578],265.0,['BER ➔ CGN']
duty_seed_170,[3504638146],265.0,['ZRH ➔ CGN']
duty_seed_171,[3504638090],265.0,['BER ➔ CGN']
duty_seed_173,[3504638661],265.0,['DUS ➔ GWT']
duty_seed_174,[3504638148],265.0,['ZRH ➔ CGN']
duty_seed_176,[3504638674],265.0,['BER ➔ DUS']
duty_seed_179,[3504658117],265.0,['DUS ➔ DRS']
duty_seed_180,[3504658093],265.0,['BER ➔ CGN']
duty_seed_181,[3504657629],265.0,['ZRH ➔ CGN']
duty_seed_182,[3504658126],265.0,['BER ➔ DUS']
duty_seed_183,[3504657581],265.0,['BER ➔ CGN']
duty_seed_186,[3504657588],265.0,['CGN ➔ MUC']
duty_seed_189,[3504657782],265.0,['MXP ➔ STR']
duty_seed_191,[3504676769],265.0,['BER ➔ CGN']
duty_seed_192,[3504676267],265.0,['ZRH ➔ CGN']
duty_seed_194,[3504676802],265.0,['DUS ➔ GWT']
duty_seed_197,[3504676804],265.0,['DUS ➔ DRS']
duty_seed_198,[3504676534],265.0,['BER ➔ SZG']
duty_seed_201,[3504676434],265.0,['MXP ➔ STR']
duty_seed_203,[3505309574],265.0,['BER ➔ DUS']
duty_seed_204,[3505309309],265.0,['ZRH ➔ CGN']
duty_seed_207,[3505309600],265.0,['DUS ➔ GWT']
duty_seed_208,[3505309253],265.0,['BER ➔ CGN']
duty_seed_209,[3505309602],265.0,['DUS ➔ DRS']
duty_seed_210,[3505309441],265.0,['SZG ➔ BER']
duty_seed_212,[3505310005],265.0,['ZRH ➔ CGN']
duty_seed_214,[3505310309],265.0,['DUS ➔ GWT']
duty_seed_219,[3505311045],265.0,['BER ➔ CGN']
duty_seed_220,[3505310773],265.0,['ZRH ➔ CGN']
duty_seed_221,"[3504676497, 3504676504]",267.5,['HAJ ➔ BGY ➔ HAJ']
duty_seed_222,[3504619338],270.0,['MUC ➔ DUS']
duty_seed_225,[3504619340],270.0,['MUC ➔ DUS']
duty_seed_228,[3504638175],270.0,['STR ➔ HAM']
duty_seed_229,[3504638477],270.0,['NUE ➔ HAM']
duty_seed_230,[3504638447],270.0,['STR ➔ HAM']
duty_seed_231,[3504638345],270.0,['SZG ➔ DUS']
duty_seed_232,[3504638664],270.0,['DRS ➔ DUS']
duty_seed_234,[3504638476],270.0,['HAM ➔ NUE']
duty_seed_235,[3504638676],270.0,['MUC ➔ DUS']
duty_seed_239,[3504638179],270.0,['STR ➔ VCE']
duty_seed_243,[3504638349],270.0,['SZG ➔ DUS']
